unit_id,session_length,session_fr,percent_trials_w_spikes,background_forward_align_mean_fr,background_forward_align_sem_fr,background_forward_align_max_fr,background_forward_align_max_fr_time,background_forward_align_min_fr,background_forward_align_min_fr_time,background_backward_align_mean_fr,background_backward_align_sem_fr,background_backward_align_max_fr,background_backward_align_max_fr_time,background_backward_align_min_fr,background_backward_align_min_fr_time,wait_forward_align_mean_fr,wait_forward_align_sem_fr,wait_forward_align_max_fr,wait_forward_align_max_fr_time,wait_forward_align_min_fr,wait_forward_align_min_fr_time,wait_backward_align_mean_fr,wait_backward_align_sem_fr,wait_backward_align_max_fr,wait_backward_align_max_fr_time,wait_backward_align_min_fr,wait_backward_align_min_fr_time,consumption_forward_align_mean_fr,consumption_forward_align_sem_fr,consumption_forward_align_max_fr,consumption_forward_align_max_fr_time,consumption_forward_align_min_fr,consumption_forward_align_min_fr_time
RZ034_2024-07-13_probe-2-unit_45,2443.5034819506113,7.719244166962576,0.9847560975609756,4.075750354790235,0.49545337613413387,6.3759146382178224,0.05,0.8992575431734813,2.75,4.797337014178704,0.657176375939986,7.980967684915444,-1.6500000000000188,0.7853931989520098,-3.2500000000000133,5.224116351186673,0.5709571247657251,7.929380575127494,9.950000000000001,3.720406938134991,8.950000000000001,3.5500580750356434,0.36950689638865575,10.625313429935423,0.049999999999950265,2.2516547491526957,-9.950000000000014,12.69527287482248,0.8507011419830349,18.894525990380497,1.25,3.646765887573676,3.05
RZ034_2024-07-13_probe-2-unit_46,2443.5034819506113,11.19785594827855,1.0,10.777363226345667,0.9740463312868854,16.604832437604355,2.85,5.435311685958643,0.7500000000000001,11.698579927698743,0.9862047015214604,19.64237759847186,-3.2500000000000133,3.2627489817113817,0.049999999999975134,6.588489217761199,0.7424356295025951,18.04366930223835,9.950000000000001,2.8793178304501716,0.05,3.437312884179122,0.38201081469903986,17.190147606495906,0.049999999999950265,1.0633633742363657,-8.25000000000002,19.55153422501967,0.838697355484438,31.883879297067455,0.05,6.387731956197361,3.05
RZ037_2024-07-16_probe-2-unit_0,3139.586535377648,41.25543237635906,1.0,39.92636279454702,2.1295842767112125,44.42584203495939,6.45,28.91017759073468,12.050000000000002,40.852469284192125,2.1944728813267287,54.2643853813938,-6.3500000000000325,26.93363857775091,0.049999999999944936,37.37002963323106,2.531611168015992,46.80469890515843,20.75,29.848615931465496,19.650000000000002,33.666555982814096,2.1994508917339584,67.06723266087712,-0.04999999999941877,28.115189428714178,-17.84999999999967,49.38183885178343,1.4334834428210244,55.250085680368265,0.9500000000000001,33.00518890160038,3.05
RZ037_2024-07-16_probe-2-unit_1,3139.586535377648,22.917348889491688,1.0,25.485288550452598,1.587908066418627,29.10857751783991,7.050000000000001,20.633268457630866,12.050000000000002,26.849558581654023,1.686736771962349,35.49158742126831,-10.950000000000015,15.629975478495345,0.049999999999944936,14.533654399433203,1.1423287966238387,21.234899063135835,0.05,8.97747190794913,19.45,14.578143141432184,1.1298861176015176,26.1433664143985,-0.04999999999941877,10.937224040372664,-14.649999999999626,29.930368054568707,1.2626836458248816,37.54219361351528,0.05,20.555692246681865,3.05
RZ037_2024-07-16_probe-2-unit_2,3139.586535377648,44.884891182987985,1.0,43.99182497593238,2.3418713055785982,49.510608483676855,3.9499999999999997,37.33774528380817,6.15,44.49357687255046,2.395948126153928,49.45022573721357,-0.8500000000000518,37.37098968454653,-12.050000000000011,42.138461601471334,2.7400405557815426,52.87648286002001,2.9499999999999997,33.247217274019064,16.75,42.565476940838735,2.7515372209786313,54.66919976100966,-0.04999999999941877,32.890769318210936,-17.84999999999967,37.72914594287339,1.5654752162198668,40.95205924633306,1.1500000000000001,33.27306688855408,3.05
RZ037_2024-07-16_probe-2-unit_3,3139.586535377648,32.70653598584389,1.0,30.122598609429595,1.7584855444484992,35.17457026446362,6.750000000000001,24.67452118791676,12.050000000000002,31.79342873712975,1.9256068669950932,40.852499056810245,-6.450000000000032,21.86716503970544,0.049999999999944936,29.836632442085204,2.081183127520338,34.84553338389047,3.85,23.065249305838478,18.55,27.96179525579123,1.8669440720090236,53.398781861920995,-0.04999999999941877,20.380039191072974,-14.749999999999627,38.999573681966744,1.5995214284929848,46.647423598402405,0.9500000000000001,28.05641805311258,3.05
RZ037_2024-07-16_probe-2-unit_4,3139.586535377648,19.911539081842967,1.0,19.489281260110655,1.324071577927015,23.430640247791153,1.45,13.305859146397506,12.050000000000002,19.76307795185226,1.3919558122870475,27.168001994443166,-12.050000000000011,12.989316122386166,0.049999999999944936,16.956706863603827,1.2925780525701647,21.98632692991875,20.35,13.165417278729201,18.45,15.170481814177757,1.1819388981122354,20.6281109537572,-0.24999999999942163,9.14722816739346,-14.449999999999623,24.624129600682114,1.2532159207477218,32.68678796123654,0.05,17.295274189970968,3.05
RZ037_2024-07-16_probe-2-unit_5,3139.586535377648,31.199649666040344,1.0,32.598617538668705,1.8494848274373317,38.421839757404534,11.450000000000001,30.830664911914635,1.95,33.29194184318125,1.920184147319156,39.74389506168896,-6.550000000000032,24.259728878334958,0.049999999999944936,23.491090454718876,1.6414277205379708,34.59233872035212,0.9500000000000001,15.58633783639457,16.25,22.404915214125932,1.5620507008758602,43.64439713148831,-0.04999999999941877,12.579271618086285,-15.749999999999641,34.16228506465823,1.2882078635573646,41.765191528004756,0.05,25.28409630370001,3.05
RZ037_2024-07-16_probe-2-unit_6,3139.586535377648,13.251426431855181,1.0,10.819302866647151,0.9976992327733555,17.96496399641595,0.05,4.708112119782453,12.050000000000002,13.505248216507619,1.1679337722968297,26.87441223035208,-6.250000000000033,4.172125615314904,0.049999999999944936,5.707935878482073,0.8033748735779959,11.848289492065234,4.15,0.6007328170489789,19.650000000000002,4.055498138637511,0.4535495767412407,39.8756053077965,-0.04999999999941877,1.4202949968333092,-14.649999999999626,25.503765809293736,1.243094889590998,32.61590161826424,0.05,14.928083125407174,3.05
RZ037_2024-07-16_probe-2-unit_7,3139.586535377648,12.122296860157109,1.0,12.112836034229332,1.0526765408707732,17.554186302278996,10.150000000000002,8.596709750259013,12.050000000000002,13.348909954111566,1.2014180772213168,23.374857376335278,-11.650000000000013,8.289368981506419,-8.950000000000022,8.944617487234947,0.9021881791634044,15.520822482175554,0.9500000000000001,3.7396652661953658,15.350000000000001,7.984145754942258,0.7075130545284226,31.23224066066388,-0.04999999999941877,2.982474534631299,-15.949999999999644,13.635071763535601,1.22378609837082,18.646597203899955,1.25,8.059122773977723,3.05
RZ037_2024-07-16_probe-2-unit_8,3139.586535377648,24.966344809021646,1.0,25.549217062916004,1.5237827627896086,29.055955625432013,3.4499999999999997,20.766644075009616,0.05,24.70483823837466,1.492185391707586,31.080599561206036,-11.750000000000012,19.981166048210394,-4.9500000000000375,24.600824141018258,1.7205891103664794,29.620678291642164,0.05,19.101648200899522,15.350000000000001,24.379370915217304,1.6838537248598775,29.43438335433823,-1.8499999999994443,18.842582409429696,-17.14999999999966,20.969162995594715,1.2044744696694938,24.046018485811945,1.05,15.098001762408895,0.05
RZ037_2024-07-16_probe-2-unit_9,3139.586535377648,3.842225676556799,1.0,2.8910413644776085,0.4900624733826888,7.073879169549604,0.05,0.5388378934301266,11.950000000000001,4.206525122043079,0.6309896205551946,12.424550952054284,-12.050000000000011,0.9207045087597285,0.049999999999944936,1.2735152517102497,0.23938463575943492,2.5124478343919963,10.850000000000001,0.07301821597508618,19.05,0.7133336849530215,0.13272132053965488,7.344157543713681,-0.04999999999941877,0.016292871166613692,-20.849999999999714,8.878783572545117,1.0173144424347598,10.983125222676126,0.8500000000000001,5.686949588843358,3.05
RZ037_2024-07-16_probe-2-unit_10,3139.586535377648,12.339522915981675,1.0,7.957412333350777,1.1904859000120305,16.577523858786986,0.05,1.7477373067457271,8.950000000000001,11.258083379471397,1.2970920813987636,32.705734719946705,-6.250000000000033,1.8466995067422467,0.049999999999944936,7.362285379275868,0.9441746347348493,12.787205821631513,4.3500000000000005,3.350084118586536,19.150000000000002,5.026170697874653,0.5643779540323722,36.007885598249466,-0.04999999999941877,2.08291700592868,-1.6499999999994415,27.96362086116243,1.2784228787452567,44.63694881583604,0.05,13.658496084845067,3.05
RZ037_2024-07-16_probe-2-unit_11,3139.586535377648,6.672853181121192,1.0,4.4592939803281455,0.8258448668982279,18.900732645049928,0.05,0.2298049410747294,9.05,7.109690103264964,1.0195659904611036,21.438080952160295,-5.850000000000034,0.3803056078143008,0.049999999999944936,1.694570649403948,0.337548944635472,4.8829928527605215,15.350000000000001,0.0,17.65,0.6332476852930076,0.09838440897489412,15.088661502864971,-0.04999999999941877,0.0012662582270325407,-16.24999999999965,18.220832741224957,1.2855019763186637,21.120589473229245,0.9500000000000001,12.624360183314096,3.05
RZ037_2024-07-16_probe-2-unit_12,3139.586535377648,0.7370397260675149,0.728448275862069,2.036739015299245,0.7814312440428514,4.1132590902379595,0.05,0.1245162918555359,9.05,2.688303847946036,0.8387779458093372,8.833827136975371,-6.450000000000032,0.14318351026350012,-8.450000000000024,0.7439694840949007,0.46408855499598517,7.483922544815151,15.650000000000002,0.0,6.3500000000000005,0.4595709100944652,0.2528457657276379,6.989488103101268,-0.04999999999941877,0.0,-15.64999999999964,1.9909274193548385,0.6552010048121885,2.534143737818549,1.05,0.8604416250861548,0.05
RZ037_2024-07-16_probe-2-unit_13,3139.586535377648,14.873933071694388,1.0,8.748186957073372,0.912276270469632,21.369759974439273,0.05,3.653246297185173,12.050000000000002,11.966154877978484,1.1189039863192625,27.986572357846914,-5.750000000000035,3.917543145774872,-7.950000000000027,7.83498950174981,0.8124781556012978,13.775159862205772,15.450000000000001,4.727957309082936,17.55,6.8929612240022795,0.696112156500318,18.668030537821554,-0.04999999999941877,4.201313762662554,-1.54999999999944,30.861162427170672,1.4054857202168207,34.772906441783256,0.9500000000000001,19.80424269023363,3.05
RZ037_2024-07-16_probe-2-unit_14,3139.586535377648,0.2239148346696037,0.8275862068965517,0.2097165483371123,0.10102610762045254,1.1245004923784832,0.05,0.0,9.950000000000001,0.3434361402085156,0.13757287189736422,0.9981343081889422,-5.550000000000035,0.004233037517429454,0.049999999999944936,0.35886495981837513,0.1803223203200301,0.7915339986328105,11.050000000000002,0.012662566467684941,9.450000000000001,0.30999752705579,0.15693405438129238,0.9084934792158119,-0.14999999999970798,0.008820573714120445,-9.149999999999835,0.7865392273994423,0.21265465088931312,1.232898317345358,1.25,0.06518843876063973,0.05
RZ037_2024-07-16_probe-2-unit_15,3139.586535377648,1.4600648678882837,1.0,0.7810436746098887,0.2655021011140784,2.872862073118711,0.05,0.0,8.950000000000001,1.4592917682735989,0.37317789705637894,5.639204256029118,-6.450000000000032,0.04090734386433341,-7.950000000000027,1.5145230004760797,0.3043756228770265,3.9800178514916222,4.3500000000000005,0.04639590816074623,12.150000000000002,0.5524286368110936,0.08305746838354552,12.528630363661797,-0.04999999999941877,0.0002158589443577886,-11.249999999999577,3.16012260983798,0.4602362275473729,10.519763058540041,0.05,1.4301923979976994,2.05
RZ037_2024-07-16_probe-2-unit_16,3139.586535377648,5.342104704236975,0.9827586206896551,4.445836706594513,0.6822182581246928,13.027954584488961,0.05,0.010222181400521222,12.050000000000002,6.547988227597184,0.9864158371207766,12.347374898884329,-5.250000000000036,2.0965144006350145,-8.250000000000025,4.481888468449943,0.5837582475914398,8.056367864340677,20.45,3.2410809951423856,10.350000000000001,4.454985752891243,0.5706048655607304,6.293422504521557,-17.04999999999966,2.6461678624015166,-18.44999999999968,6.989247311827959,1.0220328587292664,10.633535958341989,2.55,2.0047212734153357,0.25000000000000006
RZ037_2024-07-16_probe-2-unit_17,3139.586535377648,24.093299913105028,1.0,17.994629580172454,1.491436469257774,36.992807568607226,0.05,9.221646091398483,9.05,22.444236243708005,1.7986750857533078,37.53910232514449,-11.050000000000015,8.235922206006798,0.049999999999944936,19.688701908261386,1.7025851024686045,29.29441547385415,14.950000000000001,13.563273950278552,19.55,15.746139259219865,1.2732546048391402,47.732616115631664,-0.04999999999941877,9.604242823018334,-1.54999999999944,38.68551939747051,1.6129348286508054,43.436765935622944,1.05,29.428103386227153,3.05
RZ037_2024-07-16_probe-2-unit_18,3139.586535377648,1.3320225299975572,0.9913793103448276,0.6139103716139322,0.24812233960782895,2.8223573491142955,5.45,0.0,8.950000000000001,1.090958905471953,0.3235938265003455,7.701458456882194,-6.450000000000032,0.01829064315567405,-9.55000000000002,1.844451237657479,0.3490703548735539,5.498933177410921,4.25,0.0,16.55,0.6344694053738067,0.07234243954647133,19.380838576379702,-0.04999999999941877,0.0,-20.849999999999714,2.087111639661068,0.2824000530207609,8.679927140366988,0.05,0.6001688618115476,3.05
RZ037_2024-07-16_probe-2-unit_19,3139.586535377648,3.978549359684239,1.0,2.7624713688437006,0.37413087930697797,5.13223472659271,0.05,0.9667432607032281,12.050000000000002,3.3828165225846263,0.4391114525637235,7.453511127434756,-6.3500000000000325,1.4295688805120428,-7.850000000000027,3.6097107295877104,0.4189066983212007,5.442889820224254,7.250000000000001,1.2993951161501534,17.45,3.918066373517874,0.41322998593524746,11.91746410498181,-0.04999999999941877,2.2294258034545877,-1.1499999999994344,5.152649769585254,0.555219634449599,11.408985369324926,0.05,3.6800653000611474,1.85
RZ037_2024-07-16_probe-2-unit_20,3139.586535377648,24.79307358560733,1.0,24.618921689432277,1.5501472845700761,28.853586383653266,2.4499999999999997,18.25963013005509,11.050000000000002,25.545715614024374,1.6527752503375805,29.38127294866002,-2.9500000000000446,17.51994577572238,0.049999999999944936,21.175815163488146,1.5609289809142692,26.974083270855083,14.050000000000002,14.422001284031246,15.350000000000001,21.43006858375695,1.5519667738618241,27.637535667217456,-0.04999999999941877,17.41061331694718,-16.649999999999654,24.939604945289187,1.4329326599410055,27.677748806452257,2.15,20.566562283013898,3.05
RZ037_2024-07-16_probe-2-unit_21,3139.586535377648,0.9071258166984799,0.5387931034482759,0.8506302628408339,0.25861475717688387,2.1479035674017624,3.35,0.0010012640467084951,8.850000000000001,0.7486642476825778,0.22544888823721954,2.045711605171375,-2.1500000000000474,0.0,-10.650000000000016,1.3866313676673416,0.5112712771843583,3.549947736143676,19.85,0.200101528971119,14.750000000000002,1.7917381918449071,0.6199068875002648,3.636499697636445,-16.149999999999647,0.3332306603029581,-0.04999999999941877,0.5499735589635114,0.28673463531789856,0.7679766284018017,2.85,0.401184563586583,0.9500000000000001
RZ037_2024-07-16_probe-2-unit_22,3139.586535377648,1.8996131919907775,0.9827586206896551,0.6435522742528266,0.17352878811974085,2.0193272383792595,0.45,2.23056713863244e-05,9.850000000000001,0.7252914283576088,0.18533436845762868,2.0475479643300236,-5.550000000000035,0.017915806977330063,-11.950000000000012,0.9389015219436136,0.23715821689684127,2.3497866987548983,9.450000000000001,0.22987888148359595,19.650000000000002,0.7451086435754747,0.18912203882888248,3.730179610185003,-0.04999999999941877,0.009403356965862718,-20.849999999999714,5.939724367711646,0.6058433659510694,11.257301976806218,0.45,1.1397251660145107,3.05
RZ037_2024-07-16_probe-2-unit_23,3139.586535377648,5.934857915218672,1.0,7.142772038321565,0.5912942153918062,8.887881510598326,10.250000000000002,4.646442222038917,12.050000000000002,7.311804624606107,0.6363961851375782,11.655734313785468,-6.150000000000033,4.282135504381035,-12.050000000000011,2.050599956494335,0.27091625392539836,6.801967560720882,0.05,0.010872378969195734,19.45,2.167344785985467,0.2736386361446212,8.34708927614977,-0.04999999999941877,0.003982864768444759,-20.849999999999714,8.206686151833232,0.6126189178329723,15.554345645124368,0.05,5.121293370619163,3.05
RZ037_2024-07-16_probe-2-unit_24,3139.586535377648,14.864059160065999,1.0,8.884646869530583,1.3714433076567667,24.175604777552653,0.05,1.004881418266112,9.05,13.837389985869343,1.7217836202441346,38.39653998323134,-6.150000000000033,1.4946458057409446,0.049999999999944936,6.090030315299091,0.9820468472050847,17.00793125630951,15.450000000000001,0.8216937749538613,17.85,2.8083944116691413,0.37162120303903146,39.34877644180002,-0.04999999999941877,0.8448337509166319,-16.049999999999645,36.90351001847379,2.023595648442565,68.22442021478051,0.05,16.877393110635023,3.05
RZ037_2024-07-16_probe-2-unit_25,3139.586535377648,15.566380938794982,1.0,13.807679511170448,0.7974269391198745,15.403675199979737,10.950000000000001,12.270282735192769,8.55,14.885689442371419,0.8777971437149379,21.053913582378918,-6.450000000000032,10.484938736049523,0.049999999999944936,15.96923695696773,1.07739135178523,18.693915839506335,20.85,13.821776886925115,16.45,15.28779906720566,0.9907998457699602,29.88393955375199,-0.04999999999941877,13.889553857098072,-3.349999999999466,17.430723319596417,0.7490868021333628,28.461695103224855,0.05,11.1967518368797,3.05
RZ037_2024-07-16_probe-2-unit_26,3139.586535377648,3.624999620732233,1.0,3.857725179054253,0.518238973938847,7.624420138778641,0.25000000000000006,1.6751736071458552,9.250000000000002,5.277450853824239,0.6260733167399947,9.550391831101576,-10.850000000000016,1.3598424033339844,0.049999999999944936,2.634829823873104,0.4064887180937722,5.766765428551681,20.85,0.8215892493652472,10.450000000000001,1.3587910955225828,0.20452485005176174,12.928612047078037,-0.04999999999941877,0.005027199763152356,-13.949999999999616,5.3351008985123,0.5572527484801386,6.916702615366014,0.05,4.3064000918313745,0.7500000000000001
RZ037_2024-07-16_probe-2-unit_27,3139.586535377648,14.200914514572236,1.0,12.32369756984368,0.7898827734492796,16.757568768039903,0.05,9.43725226104948,9.350000000000001,13.303378120376314,0.8520410086402819,21.006061508723775,-6.150000000000033,7.519709631672818,0.049999999999944936,10.553171355709763,0.7540798125563372,12.35552064984823,4.3500000000000005,8.839075568911605,16.25,10.071359058964939,0.6960418077227762,20.29097993300963,-0.04999999999941877,8.72225151323843,-13.649999999999611,21.872957226090662,0.7187608304029527,25.433582167172315,0.7500000000000001,13.148676834516692,3.05
RZ037_2024-07-16_probe-2-unit_28,3139.586535377648,11.421249134541466,1.0,8.724372242048904,0.7062080721866797,13.269956424047384,0.05,5.581501326206262,10.350000000000001,9.928224955929544,0.7994320596393718,15.363662708570264,-5.950000000000034,4.914352536963898,-7.850000000000027,8.354375896611852,0.6618120828501411,10.171971128056864,9.350000000000001,5.809882957158112,18.15,8.87243030996172,0.6775128502614536,13.186777968578058,-0.04999999999941877,7.3405521365548685,-1.8499999999994443,17.35398607361092,0.7768257893623373,21.689431608081044,0.7500000000000001,10.271851545735636,3.05
RZ037_2024-07-16_probe-2-unit_29,3139.586535377648,1.6438470294876597,1.0,1.3588620634806956,0.2926304627883851,4.0411476853837085,0.05,0.391161946454467,9.05,2.1248926463646147,0.3689944308618316,6.006771598698682,-11.150000000000015,0.27477742975539665,-8.250000000000025,0.646079805170845,0.173064057437836,1.9726696048190289,13.750000000000002,0.061074296357714664,19.45,0.43995644315421606,0.12437801740878339,2.966462000065814,-0.04999999999941877,0.010641412122957076,-19.349999999999692,3.7648745519713263,0.4606483939559338,4.225166262227423,2.35,2.9336003908649455,3.05
RZ037_2024-07-16_probe-2-unit_30,3139.586535377648,5.22839546387133,1.0,3.541048765989561,0.5116190688104093,10.054020184497151,0.05,0.6512465653474021,9.05,5.095485245961023,0.6276892653408429,10.208139813576851,-5.550000000000035,0.8654521100528227,0.049999999999944936,2.2892604699822923,0.35031197556886134,5.221220276372785,20.85,0.7255707090879244,19.150000000000002,1.5721745277918058,0.242999888447257,9.29794100436405,-0.04999999999941877,0.4029669802095046,-16.149999999999647,12.090379423049594,0.8436296076333165,14.587442712581856,1.1500000000000001,8.775422995288425,3.05
